Timestamp,What kind of transit stop are you at?,What type of station are you auditing?,What station are you auditing?,Is there an elevator at the station?,"If there is an elevator, is it in service today?","If the elevator is in service, ride it. Describe your experience.","Is there a ramp that allows mobility device users and transit riders with strollers, grocery carts or wheeled vehicles to access the station?",Are there accessible announcements available at the station (ex/ a real time arrival display with an audio option?),How could this station be more accessible?,Bus stop ID: ,Bus route(s) served by stop ,Bus stop location/intersection: ,"Is there a designated stopping area for the bus that provides free access to the vehicle's front and rear doors? The stop area should be free from obstructions (light poles, trees, driveway entrances). ","If applicable, please add a photo of the obstruction ","Is there a loading/landing pad? The landing pad is where bus drivers deploy the ramp for wheelchair users, and should have a 5' diameter circle, enough for a wheelchair to fully turn around.",Are there accessible announcements available at the stop (ex/ a real time arrival display with an audio option?),Is the stop well connected to/accessible by sidewalks? Does entering/exiting the stop force you to pass through grass or other obstacles? ,"Is the sidewalk around the bus stop flat and even, easily traversable for wheelchair users?","Is there a curb cut (a solid, sloped ramp graded down from the top edge of a sidewalk to meet the adjoining street) on the adjacent intersection? ",Does the stop have a shelter?,"If yes, is the shelter wheelchair accessible? (The bench does not take up the entire length of the shelter, and there is enough room for a wheelchair to fit between the bench and the edge of the shelter)",Does the stop have a place to sit?,"Is there damage to the stop, such as shattered glass? ","If applicable, please add a photo of the damage:",Is there a trash can nearby?,If Yes - has the trash can been well maintained?,If applicable - share an identifying number on the trash can ,Is there a street light nearby?,If applicable - share an identifying number on the street light,Is the stop clearly marked? Is there damage to the sign that makes it difficult to read? ,"If applicable, please add a photo of the damaged or missing sign",What would you add to this bus stop? ,Is there anything else you'd like to note?
6/6/2026 8:58:31,"A station (B, D, L, M, Regional Rail station or below ground trolley stop)",Market Frankford Line (L),york-dauphin,Yes,Yes,smelly buttons may not work correctly ,Yes,Yes,clear markings to where the elevators are and the buttons meanings on the outside of the elevator ,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2026 9:00:39,A bus or above ground trolley stop,,,,,,,,,23952,5,tioga + frankford,"Yes, there is a marked stopping area that is free from obstructions",,No,No,The stop is connected to/integrated into the sidewalk.,"There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,No,,No,,,Yes,132,The stop is clearly marked and the sign is easy to read,,,
6/6/2026 9:01:06,A bus or above ground trolley stop,,,,,,,,,Unknown,Unknown,"Ontario, Kensington and J St",The stopping area is obstructed,https://drive.google.com/open?id=1h86dp-wPg2UAuxjkrl2yWsl0kma8iXVR,Wide sidewalk,No,The stop is connected to/integrated into the sidewalk.,"There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,No,,No,,,No,na or maybe 132 (marked 132 led),"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,signage.,Absolutely zero signage and the only indication it is a stop is the bus marking.
6/6/2026 9:01:41,A bus or above ground trolley stop,,,,,,,,,Cannot see it,Cannot see it,Sedgely and Kensington,"Yes, there is a marked stopping area that is free from obstructions",,No,No,The stop is connected to/integrated into the sidewalk.,"There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,Yes,,No,,,No,N/A,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,"Need a new sign because it is missing. Also shelter, street lights, benches, trash cans.",
6/6/2026 9:04:47,A bus or above ground trolley stop,,,,,,,,,completely missing sign so can’t tell!,5,"south bound 5, tioga + frankford ",The stopping area is obstructed,,No,No,The stop is connected to/integrated into the sidewalk.,"There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,No,,No,,,No,N/A,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,"this bus stop is horrible. there is no sign, cars are clearly parked in the bus lane. trash and debris every where ",
6/6/2026 9:05:36,A bus or above ground trolley stop,,,,,,,,,52,"3,39, ML owl ",jasper and kensington ,"Yes, there is a marked stopping area that is free from obstructions",,there’s a cross walk at the location of the bus sign but actual bus loading zone is further from sign/ramp ,No,The stop is connected to/integrated into the sidewalk.,"Yes, the sidewalk is flat and even.",Yes,No,No,No,No,,Yes,3,n/a,Yes,n/a,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",https://drive.google.com/open?id=1k0b_Bgy8aQsRoe1tj4jnELDfoTefbDl2,i would add seating and clear move sign closer to actual bus stop designation ,
6/6/2026 9:05:44,A bus or above ground trolley stop,,,,,,,,,18006,56,Castor & Eerie,The stopping area is obstructed,https://drive.google.com/open?id=10OCJJM_4x9pDbnEGEacz-aJujTBoRjQt,No,No,The stop is connected to/integrated into the sidewalk.,"Yes, the sidewalk is flat and even.",Yes,No,No,No,No,,No,,,Yes,Couldn’t read ,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,"Shelter, bench, improved cross walk, trash can, real time info ",Detour sign obstructing view of bus stop sign
6/6/2026 9:08:01,A bus or above ground trolley stop,,,,,,,,,n/a,unclear?,jasper,"Yes, there is a marked stopping area that is free from obstructions",,Yes,No,The stop is connected to/integrated into the sidewalk.,"Yes, the sidewalk is flat and even.",Yes,No,n/a,No,No,,No,,,Yes,n/a,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,a sign lol,many bus stops are without signs and it’s difficult to tell what they are servicing
6/6/2026 9:10:28,A bus or above ground trolley stop,,,,,,,,,"Partially obscured, ends with 7840",3,Kengsington and Venango,The stopping area is obstructed,,No,No,"When entering/exiting the stop, you have to traverse grass or another obstacle to get to the sidewalk","There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,No,,No,,,No,None,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,"Shelter, trash, benches. Would remove the parking lot behind it.",Advertisement blocks the sign ID partly. Close to a parking lot without lines -- appears hazardous. Bus stopping area is weirdly ahead of sidewalk.
6/6/2026 9:11:10,A bus or above ground trolley stop,,,,,,,,,no sign,we think the 5,northbound 5 of venango + frankford,"Yes, there is a marked stopping area that is free from obstructions",,No,No,"When entering/exiting the stop, you have to traverse grass or another obstacle to get to the sidewalk","There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,No,,No,,,No,N/A,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,"there is no sign, and cars are clearly parked in the bus stop :/ ",
6/6/2026 9:11:33,A bus or above ground trolley stop,,,,,,,,,17853,"3, 89, 400","I, Westmoreland, Kensington","Yes, there is a marked stopping area that is free from obstructions",,wide sidewalk,No,The stop is connected to/integrated into the sidewalk.,"Yes, the sidewalk is flat and even.",Yes,No,No,No,No,,No,,,attached to septa overpass,na,The stop is clearly marked and the sign is easy to read,https://drive.google.com/open?id=1SnttaRBNKI8o5VK79KRk6bdrGzuDksqj,,mild graffiti on no stopping sign. 
6/6/2026 9:12:02,A bus or above ground trolley stop,,,,,,,,,19004,"3,ML owl ",dauphin & kensington ,The stopping area is obstructed,https://drive.google.com/open?id=1b8-B9gkyXnbuRExTXYh8Z6gOJzXVzAz5,No,No,The stop is connected to/integrated into the sidewalk.,"Yes, the sidewalk is flat and even.",No,No,No,No,No,,No,,,Yes,n/a ,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",https://drive.google.com/open?id=1yuwu1cGjnECkv92Maj6wQjIK_5ZPWF_4,shelter and seating lots of sun ,
6/6/2026 9:12:52,A bus or above ground trolley stop,,,,,,,,,no sign for id ,we think 5?,south bound venango + frankford ,The stopping area is obstructed,,No,No,"When entering/exiting the stop, you have to traverse grass or another obstacle to get to the sidewalk","There are cracks or bumps in the sidewalk that would make it difficult to traverse smoothly for wheelchair users, strollers, etc.",Yes,No,No,No,No,,No,,,No,none,"The stop is not clearly marked (the sign is difficult to find, obscured, or nonexistent)",,this stop seems to be consistently be obstructed by cars because there is an auto repair business right by the bus stop,
